Source airport,Destination airport,City_source,Country_source,City_destination,Country_destination,Latitude_source,Longitude_source,Latitude_destination,Longitude_destination
LYC,ARN,Lycksele,Sweden,Stockholm,Sweden,64.54830169677734,18.71619987487793,59.65190124511699,17.918600082397
MHQ,ARN,Mariehamn,Finland,Stockholm,Sweden,60.122200012207,19.898199081421,59.65190124511699,17.918600082397
MHQ,TKU,Mariehamn,Finland,Turku,Finland,60.122200012207,19.898199081421,60.514099121094,22.262800216675
OER,ARN,Ornskoldsvik,Sweden,Stockholm,Sweden,63.40829849243164,18.989999771118164,59.65190124511699,17.918600082397
OSL,VXO,Oslo,Norway,Vaxjo,Sweden,60.121,11.0502,56.929100036621094,14.727999687194824
POR,ARN,Pori,Finland,Stockholm,Sweden,61.46170043945301,21.799999237061,59.65190124511699,17.918600082397
POR,KOK,Pori,Finland,Kruunupyy,Finland,61.46170043945301,21.799999237061,63.721199035645,23.143100738525
TKU,MHQ,Turku,Finland,Mariehamn,Finland,60.514099121094,22.262800216675,60.122200012207,19.898199081421
TRF,ARN,Sandefjord,Norway,Stockholm,Sweden,59.1866989136,10.258600235,59.65190124511699,17.918600082397
VBY,ARN,Visby,Sweden,Stockholm,Sweden,57.662799835205,18.346200942993,59.65190124511699,17.918600082397
VHM,ARN,Vilhelmina,Sweden,Stockholm,Sweden,64.5791015625,16.833599090576172,59.65190124511699,17.918600082397
VHM,HMV,Vilhelmina,Sweden,Hemavan,Sweden,64.5791015625,16.833599090576172,65.80609893798828,15.082799911499023
VXO,ARN,Vaxjo,Sweden,Stockholm,Sweden,56.929100036621094,14.727999687194824,59.65190124511699,17.918600082397
VXO,OSL,Vaxjo,Sweden,Oslo,Norway,56.929100036621094,14.727999687194824,60.121,11.0502
ACH,EBA,Altenrhein,Switzerland,Marina Di Campo,Italy,47.4850006104,9.560770034789998,42.7603,10.2394
DRS,ZRH,Dresden,Germany,Zurich,Switzerland,51.1328010559082,13.767200469970703,47.464699,8.54917
DUS,FDH,Duesseldorf,Germany,Friedrichshafen,Germany,51.289501,6.766780000000001,47.671298980699994,9.511489868160002
EBA,ACH,Marina Di Campo,Italy,Altenrhein,Switzerland,42.7603,10.2394,47.4850006104,9.560770034789998
EBA,FDH,Marina Di Campo,Italy,Friedrichshafen,Germany,42.7603,10.2394,47.671298980699994,9.511489868160002
EBA,MUC,Marina Di Campo,Italy,Munich,Germany,42.7603,10.2394,48.353802,11.7861
EBA,ZRH,Marina Di Campo,Italy,Zurich,Switzerland,42.7603,10.2394,47.464699,8.54917
FDH,DUS,Friedrichshafen,Germany,Duesseldorf,Germany,47.671298980699994,9.511489868160002,51.289501,6.766780000000001
FDH,EBA,Friedrichshafen,Germany,Marina Di Campo,Italy,47.671298980699994,9.511489868160002,42.7603,10.2394
FDH,HAM,Friedrichshafen,Germany,Hamburg,Germany,47.671298980699994,9.511489868160002,53.630401611328,9.988229751586902
FDH,OLB,Friedrichshafen,Germany,Olbia,Italy,47.671298980699994,9.511489868160002,40.898701,9.51763
FDH,TXL,Friedrichshafen,Germany,Berlin,Germany,47.671298980699994,9.511489868160002,52.5597,13.2877
FDH,ZAD,Friedrichshafen,Germany,Zadar,Croatia,47.671298980699994,9.511489868160002,44.108299,15.3467
FMM,NAP,Memmingen,Germany,Naples,Italy,47.9888000488,10.2395000458,40.886002000000005,14.2908
GRZ,ZRH,Graz,Austria,Zurich,Switzerland,46.9911003112793,15.439599990844728,47.464699,8.54917
HAM,FDH,Hamburg,Germany,Friedrichshafen,Germany,53.630401611328,9.988229751586902,47.671298980699994,9.511489868160002
MUC,EBA,Munich,Germany,Marina Di Campo,Italy,48.353802,11.7861,42.7603,10.2394
NAP,FMM,Naples,Italy,Memmingen,Germany,40.886002000000005,14.2908,47.9888000488,10.2395000458
OLB,FDH,Olbia,Italy,Friedrichshafen,Germany,40.898701,9.51763,47.671298980699994,9.511489868160002
SZG,ZRH,Salzburg,Austria,Zurich,Switzerland,47.7933006287,13.0043001175,47.464699,8.54917
TXL,FDH,Berlin,Germany,Friedrichshafen,Germany,52.5597,13.2877,47.671298980699994,9.511489868160002
ZAD,FDH,Zadar,Croatia,Friedrichshafen,Germany,44.108299,15.3467,47.671298980699994,9.511489868160002
ZRH,DRS,Zurich,Switzerland,Dresden,Germany,47.464699,8.54917,51.1328010559082,13.767200469970703
ZRH,EBA,Zurich,Switzerland,Marina Di Campo,Italy,47.464699,8.54917,42.7603,10.2394
ZRH,GRZ,Zurich,Switzerland,Graz,Austria,47.464699,8.54917,46.9911003112793,15.439599990844728
ZRH,SZG,Zurich,Switzerland,Salzburg,Austria,47.464699,8.54917,47.7933006287,13.0043001175
AYT,ZRH,Antalya,Turkey,Zurich,Switzerland,36.898701,30.800501,47.464699,8.54917
PRN,ZRH,Pristina,Serbia,Zurich,Switzerland,42.5728,21.035801,47.464699,8.54917
SKP,ZRH,Skopje,Macedonia,Zurich,Switzerland,41.961601,21.621401,47.464699,8.54917
ZRH,AYT,Zurich,Switzerland,Antalya,Turkey,47.464699,8.54917,36.898701,30.800501
ZRH,PRN,Zurich,Switzerland,Pristina,Serbia,47.464699,8.54917,42.5728,21.035801
ZRH,SKP,Zurich,Switzerland,Skopje,Macedonia,47.464699,8.54917,41.961601,21.621401
AGP,STR,Malaga,Spain,Stuttgart,Germany,36.67490005493164,-4.499110221862793,48.6898994446,9.22196006775
AGP,TXL,Malaga,Spain,Berlin,Germany,36.67490005493164,-4.499110221862793,52.5597,13.2877
AMS,HAM,Amsterdam,Netherlands,Hamburg,Germany,52.308601,4.76389,53.630401611328,9.988229751586902
AOI,DUS,Ancona,Italy,Duesseldorf,Germany,43.616299,13.3623,51.289501,6.766780000000001
AOI,TXL,Ancona,Italy,Berlin,Germany,43.616299,13.3623,52.5597,13.2877
ARN,CGN,Stockholm,Sweden,Cologne,Germany,59.65190124511699,17.918600082397,50.8658981323,7.1427397728
ARN,DUS,Stockholm,Sweden,Duesseldorf,Germany,59.65190124511699,17.918600082397,51.289501,6.766780000000001
ARN,HAM,Stockholm,Sweden,Hamburg,Germany,59.65190124511699,17.918600082397,53.630401611328,9.988229751586902
ATH,CGN,Athens,Greece,Cologne,Germany,37.9364013672,23.944499969499997,50.8658981323,7.1427397728
ATH,STR,Athens,Greece,Stuttgart,Germany,37.9364013672,23.944499969499997,48.6898994446,9.22196006775
AYT,CGN,Antalya,Turkey,Cologne,Germany,36.898701,30.800501,50.8658981323,7.1427397728
BCN,CGN,Barcelona,Spain,Cologne,Germany,41.2971,2.07846,50.8658981323,7.1427397728
BCN,DUS,Barcelona,Spain,Duesseldorf,Germany,41.2971,2.07846,51.289501,6.766780000000001
BCN,HAJ,Barcelona,Spain,Hannover,Germany,41.2971,2.07846,52.461101532,9.68507957458
BCN,HAM,Barcelona,Spain,Hamburg,Germany,41.2971,2.07846,53.630401611328,9.988229751586902
BCN,STR,Barcelona,Spain,Stuttgart,Germany,41.2971,2.07846,48.6898994446,9.22196006775
BDS,STR,Brindisi,Italy,Stuttgart,Germany,40.6576,17.947001,48.6898994446,9.22196006775
BEG,STR,Belgrade,Serbia,Stuttgart,Germany,44.8184013367,20.3090991974,48.6898994446,9.22196006775
BGO,HAM,Bergen,Norway,Hamburg,Germany,60.29339981,5.218140125,53.630401611328,9.988229751586902
BHX,HAM,Birmingham,United Kingdom,Hamburg,Germany,52.4538993835,-1.7480299472799998,53.630401611328,9.988229751586902
BHX,TXL,Birmingham,United Kingdom,Berlin,Germany,52.4538993835,-1.7480299472799998,52.5597,13.2877
BIA,CGN,Bastia,France,Cologne,Germany,42.55270004272461,9.48373031616211,50.8658981323,7.1427397728
BIA,DUS,Bastia,France,Duesseldorf,Germany,42.55270004272461,9.48373031616211,51.289501,6.766780000000001
BIA,HAM,Bastia,France,Hamburg,Germany,42.55270004272461,9.48373031616211,53.630401611328,9.988229751586902
BIA,STR,Bastia,France,Stuttgart,Germany,42.55270004272461,9.48373031616211,48.6898994446,9.22196006775
BIA,TXL,Bastia,France,Berlin,Germany,42.55270004272461,9.48373031616211,52.5597,13.2877
BIO,DUS,Bilbao,Spain,Duesseldorf,Germany,43.30110168457031,-2.9106099605560303,51.289501,6.766780000000001
BIO,STR,Bilbao,Spain,Stuttgart,Germany,43.30110168457031,-2.9106099605560303,48.6898994446,9.22196006775
BLQ,CGN,Bologna,Italy,Cologne,Germany,44.5354,11.2887,50.8658981323,7.1427397728
BLQ,TXL,Bologna,Italy,Berlin,Germany,44.5354,11.2887,52.5597,13.2877
BRE,STR,Bremen,Germany,Stuttgart,Germany,53.0475006104,8.78666973114,48.6898994446,9.22196006775
BRI,CGN,Bari,Italy,Cologne,Germany,41.138901,16.760599,50.8658981323,7.1427397728
BRI,DUS,Bari,Italy,Duesseldorf,Germany,41.138901,16.760599,51.289501,6.766780000000001
BRI,STR,Bari,Italy,Stuttgart,Germany,41.138901,16.760599,48.6898994446,9.22196006775
BRU,STR,Brussels,Belgium,Stuttgart,Germany,50.9014015198,4.48443984985,48.6898994446,9.22196006775
BSL,DUS,Mulhouse,France,Duesseldorf,Germany,47.59,7.5291667,51.289501,6.766780000000001
BUD,CGN,Budapest,Hungary,Cologne,Germany,47.429759999999995,19.261093,50.8658981323,7.1427397728
BUD,HAM,Budapest,Hungary,Hamburg,Germany,47.429759999999995,19.261093,53.630401611328,9.988229751586902
BUD,STR,Budapest,Hungary,Stuttgart,Germany,47.429759999999995,19.261093,48.6898994446,9.22196006775
CAG,CGN,Cagliari,Italy,Cologne,Germany,39.251499,9.05428,50.8658981323,7.1427397728
CAG,DUS,Cagliari,Italy,Duesseldorf,Germany,39.251499,9.05428,51.289501,6.766780000000001
CAG,STR,Cagliari,Italy,Stuttgart,Germany,39.251499,9.05428,48.6898994446,9.22196006775
CDG,HAM,Paris,France,Hamburg,Germany,49.012798,2.55,53.630401611328,9.988229751586902
CFU,CGN,Kerkyra/corfu,Greece,Cologne,Germany,39.601898193359375,19.911699295043945,50.8658981323,7.1427397728
CFU,DRS,Kerkyra/corfu,Greece,Dresden,Germany,39.601898193359375,19.911699295043945,51.1328010559082,13.767200469970703
CFU,STR,Kerkyra/corfu,Greece,Stuttgart,Germany,39.601898193359375,19.911699295043945,48.6898994446,9.22196006775
CGN,ARN,Cologne,Germany,Stockholm,Sweden,50.8658981323,7.1427397728,59.65190124511699,17.918600082397
CGN,ATH,Cologne,Germany,Athens,Greece,50.8658981323,7.1427397728,37.9364013672,23.944499969499997
CGN,AYT,Cologne,Germany,Antalya,Turkey,50.8658981323,7.1427397728,36.898701,30.800501
CGN,BCN,Cologne,Germany,Barcelona,Spain,50.8658981323,7.1427397728,41.2971,2.07846
CGN,BIA,Cologne,Germany,Bastia,France,50.8658981323,7.1427397728,42.55270004272461,9.48373031616211
CGN,BLQ,Cologne,Germany,Bologna,Italy,50.8658981323,7.1427397728,44.5354,11.2887
CGN,BRI,Cologne,Germany,Bari,Italy,50.8658981323,7.1427397728,41.138901,16.760599
CGN,BUD,Cologne,Germany,Budapest,Hungary,50.8658981323,7.1427397728,47.429759999999995,19.261093
CGN,CAG,Cologne,Germany,Cagliari,Italy,50.8658981323,7.1427397728,39.251499,9.05428
CGN,CFU,Cologne,Germany,Kerkyra/corfu,Greece,50.8658981323,7.1427397728,39.601898193359375,19.911699295043945
CGN,CLY,Cologne,Germany,Calvi,France,50.8658981323,7.1427397728,42.52444439999999,8.793055599999999
CGN,CTA,Cologne,Germany,Catania,Italy,50.8658981323,7.1427397728,37.466801,15.0664
CGN,DBV,Cologne,Germany,Dubrovnik,Croatia,50.8658981323,7.1427397728,42.5614013671875,18.268199920654297
CGN,DRS,Cologne,Germany,Dresden,Germany,50.8658981323,7.1427397728,51.1328010559082,13.767200469970703
CGN,DUB,Cologne,Germany,Dublin,Ireland,50.8658981323,7.1427397728,53.421299,-6.27007
CGN,EDI,Cologne,Germany,Edinburgh,United Kingdom,50.8658981323,7.1427397728,55.95000076293945,-3.372499942779541
CGN,FAO,Cologne,Germany,Faro,Portugal,50.8658981323,7.1427397728,37.0144004822,-7.965909957889999
CGN,FCO,Cologne,Germany,Rome,Italy,50.8658981323,7.1427397728,41.8002778,12.2388889
CGN,FDH,Cologne,Germany,Friedrichshafen,Germany,50.8658981323,7.1427397728,47.671298980699994,9.511489868160002
CGN,HAM,Cologne,Germany,Hamburg,Germany,50.8658981323,7.1427397728,53.630401611328,9.988229751586902
CGN,HDF,Cologne,Germany,Heringsdorf,Germany,50.8658981323,7.1427397728,53.8787002563,14.152299881
CGN,HER,Cologne,Germany,Heraklion,Greece,50.8658981323,7.1427397728,35.3396987915,25.1802997589
CGN,IBZ,Cologne,Germany,Ibiza,Spain,50.8658981323,7.1427397728,38.8728981018,1.3731199502899998
CGN,JMK,Cologne,Germany,Mykonos,Greece,50.8658981323,7.1427397728,37.43510055541992,25.348100662231445
CGN,JTR,Cologne,Germany,Thira,Greece,50.8658981323,7.1427397728,36.39920043945313,25.47929954528809
CGN,KGS,Cologne,Germany,Kos,Greece,50.8658981323,7.1427397728,36.79330062866211,27.09169960021973
CGN,KLU,Cologne,Germany,Klagenfurt,Austria,50.8658981323,7.1427397728,46.642502,14.3377
CGN,KVA,Cologne,Germany,Kavala,Greece,50.8658981323,7.1427397728,40.91329956054688,24.619199752807617
CGN,LEJ,Cologne,Germany,Leipzig,Germany,50.8658981323,7.1427397728,51.423889,12.236389
CGN,LHR,Cologne,Germany,London,United Kingdom,50.8658981323,7.1427397728,51.4706,-0.461941
CGN,LIS,Cologne,Germany,Lisbon,Portugal,50.8658981323,7.1427397728,38.7813,-9.13592
CGN,MAN,Cologne,Germany,Manchester,United Kingdom,50.8658981323,7.1427397728,53.35369873046875,-2.2749500274658203
CGN,MXP,Cologne,Germany,Milano,Italy,50.8658981323,7.1427397728,45.6306,8.728110000000001
CGN,NAP,Cologne,Germany,Naples,Italy,50.8658981323,7.1427397728,40.886002000000005,14.2908
CGN,NCE,Cologne,Germany,Nice,France,50.8658981323,7.1427397728,43.658401489300005,7.215869903560001
CGN,OLB,Cologne,Germany,Olbia,Italy,50.8658981323,7.1427397728,40.898701,9.51763
CGN,PMI,Cologne,Germany,Palma de Mallorca,Spain,50.8658981323,7.1427397728,39.551700592,2.73881006241
CGN,PMO,Cologne,Germany,Palermo,Italy,50.8658981323,7.1427397728,38.175999,13.091
CGN,PRG,Cologne,Germany,Prague,Czech Republic,50.8658981323,7.1427397728,50.1008,14.26
CGN,PSA,Cologne,Germany,Pisa,Italy,50.8658981323,7.1427397728,43.683899,10.3927
CGN,PUY,Cologne,Germany,Pula,Croatia,50.8658981323,7.1427397728,44.89350128173828,13.922200202941896
CGN,RHO,Cologne,Germany,Rhodos,Greece,50.8658981323,7.1427397728,36.40539932250977,28.086200714111328
CGN,RJK,Cologne,Germany,Rijeka,Croatia,50.8658981323,7.1427397728,45.21689987182617,14.570300102233888
CGN,RLG,Cologne,Germany,Laage,Germany,50.8658981323,7.1427397728,53.9182014465,12.2783002853
CGN,SAW,Cologne,Germany,Istanbul,Turkey,50.8658981323,7.1427397728,40.898601532,29.3092002869
CGN,SJJ,Cologne,Germany,Sarajevo,Bosnia and Herzegovina,50.8658981323,7.1427397728,43.82460021972656,18.331499099731445
CGN,SKG,Cologne,Germany,Thessaloniki,Greece,50.8658981323,7.1427397728,40.51969909667969,22.97089958190918
CGN,SPU,Cologne,Germany,Split,Croatia,50.8658981323,7.1427397728,43.53889846801758,16.29800033569336
CGN,STN,Cologne,Germany,London,United Kingdom,50.8658981323,7.1427397728,51.8849983215,0.234999999404
CGN,SUF,Cologne,Germany,Lamezia,Italy,50.8658981323,7.1427397728,38.905399,16.2423
CGN,SZG,Cologne,Germany,Salzburg,Austria,50.8658981323,7.1427397728,47.7933006287,13.0043001175
CGN,TXL,Cologne,Germany,Berlin,Germany,50.8658981323,7.1427397728,52.5597,13.2877
CGN,VCE,Cologne,Germany,Venice,Italy,50.8658981323,7.1427397728,45.505299,12.3519
CGN,VIE,Cologne,Germany,Vienna,Austria,50.8658981323,7.1427397728,48.110298156738,16.569700241089002
CGN,VRN,Cologne,Germany,Villafranca,Italy,50.8658981323,7.1427397728,45.395699,10.8885
CGN,WAW,Cologne,Germany,Warsaw,Poland,50.8658981323,7.1427397728,52.1656990051,20.9671001434
CGN,XRY,Cologne,Germany,Jerez,Spain,50.8658981323,7.1427397728,36.74459838867188,-6.060110092163086
CGN,ZAD,Cologne,Germany,Zadar,Croatia,50.8658981323,7.1427397728,44.108299,15.3467
CGN,ZAG,Cologne,Germany,Zagreb,Croatia,50.8658981323,7.1427397728,45.742900848400005,16.0687999725
CGN,ZRH,Cologne,Germany,Zurich,Switzerland,50.8658981323,7.1427397728,47.464699,8.54917
CLY,CGN,Calvi,France,Cologne,Germany,42.52444439999999,8.793055599999999,50.8658981323,7.1427397728
CTA,CGN,Catania,Italy,Cologne,Germany,37.466801,15.0664,50.8658981323,7.1427397728
CTA,DUS,Catania,Italy,Duesseldorf,Germany,37.466801,15.0664,51.289501,6.766780000000001
CTA,HAJ,Catania,Italy,Hannover,Germany,37.466801,15.0664,52.461101532,9.68507957458
CTA,HAM,Catania,Italy,Hamburg,Germany,37.466801,15.0664,53.630401611328,9.988229751586902
CTA,STR,Catania,Italy,Stuttgart,Germany,37.466801,15.0664,48.6898994446,9.22196006775
CTA,TXL,Catania,Italy,Berlin,Germany,37.466801,15.0664,52.5597,13.2877
CWL,DUS,Cardiff,United Kingdom,Duesseldorf,Germany,51.39670181274414,-3.343329906463623,51.289501,6.766780000000001
DBV,CGN,Dubrovnik,Croatia,Cologne,Germany,42.5614013671875,18.268199920654297,50.8658981323,7.1427397728
DBV,DUS,Dubrovnik,Croatia,Duesseldorf,Germany,42.5614013671875,18.268199920654297,51.289501,6.766780000000001
DBV,HAJ,Dubrovnik,Croatia,Hannover,Germany,42.5614013671875,18.268199920654297,52.461101532,9.68507957458
DBV,HAM,Dubrovnik,Croatia,Hamburg,Germany,42.5614013671875,18.268199920654297,53.630401611328,9.988229751586902
DBV,STR,Dubrovnik,Croatia,Stuttgart,Germany,42.5614013671875,18.268199920654297,48.6898994446,9.22196006775
DBV,TXL,Dubrovnik,Croatia,Berlin,Germany,42.5614013671875,18.268199920654297,52.5597,13.2877
DRS,CFU,Dresden,Germany,Kerkyra/corfu,Greece,51.1328010559082,13.767200469970703,39.601898193359375,19.911699295043945
DRS,CGN,Dresden,Germany,Cologne,Germany,51.1328010559082,13.767200469970703,50.8658981323,7.1427397728
DRS,DUS,Dresden,Germany,Duesseldorf,Germany,51.1328010559082,13.767200469970703,51.289501,6.766780000000001
DRS,STR,Dresden,Germany,Stuttgart,Germany,51.1328010559082,13.767200469970703,48.6898994446,9.22196006775
DTM,HDF,Dortmund,Germany,Heringsdorf,Germany,51.518299102799986,7.61223983765,53.8787002563,14.152299881
DTM,MUC,Dortmund,Germany,Munich,Germany,51.518299102799986,7.61223983765,48.353802,11.7861
DTM,PMI,Dortmund,Germany,Palma de Mallorca,Spain,51.518299102799986,7.61223983765,39.551700592,2.73881006241
DTM,SAW,Dortmund,Germany,Istanbul,Turkey,51.518299102799986,7.61223983765,40.898601532,29.3092002869
DTM,SPU,Dortmund,Germany,Split,Croatia,51.518299102799986,7.61223983765,43.53889846801758,16.29800033569336
DUB,CGN,Dublin,Ireland,Cologne,Germany,53.421299,-6.27007,50.8658981323,7.1427397728
DUB,DUS,Dublin,Ireland,Duesseldorf,Germany,53.421299,-6.27007,51.289501,6.766780000000001
DUS,AOI,Duesseldorf,Germany,Ancona,Italy,51.289501,6.766780000000001,43.616299,13.3623
DUS,ARN,Duesseldorf,Germany,Stockholm,Sweden,51.289501,6.766780000000001,59.65190124511699,17.918600082397
DUS,BCN,Duesseldorf,Germany,Barcelona,Spain,51.289501,6.766780000000001,41.2971,2.07846
DUS,BIA,Duesseldorf,Germany,Bastia,France,51.289501,6.766780000000001,42.55270004272461,9.48373031616211
DUS,BIO,Duesseldorf,Germany,Bilbao,Spain,51.289501,6.766780000000001,43.30110168457031,-2.9106099605560303
DUS,BRI,Duesseldorf,Germany,Bari,Italy,51.289501,6.766780000000001,41.138901,16.760599
DUS,BSL,Duesseldorf,Germany,Mulhouse,France,51.289501,6.766780000000001,47.59,7.5291667
DUS,CAG,Duesseldorf,Germany,Cagliari,Italy,51.289501,6.766780000000001,39.251499,9.05428
DUS,CTA,Duesseldorf,Germany,Catania,Italy,51.289501,6.766780000000001,37.466801,15.0664
DUS,CWL,Duesseldorf,Germany,Cardiff,United Kingdom,51.289501,6.766780000000001,51.39670181274414,-3.343329906463623
DUS,DBV,Duesseldorf,Germany,Dubrovnik,Croatia,51.289501,6.766780000000001,42.5614013671875,18.268199920654297
DUS,DRS,Duesseldorf,Germany,Dresden,Germany,51.289501,6.766780000000001,51.1328010559082,13.767200469970703
DUS,DUB,Duesseldorf,Germany,Dublin,Ireland,51.289501,6.766780000000001,53.421299,-6.27007
DUS,GVA,Duesseldorf,Germany,Geneva,Switzerland,51.289501,6.766780000000001,46.23809814453125,6.108950138092041
DUS,HDF,Duesseldorf,Germany,Heringsdorf,Germany,51.289501,6.766780000000001,53.8787002563,14.152299881
DUS,HER,Duesseldorf,Germany,Heraklion,Greece,51.289501,6.766780000000001,35.3396987915,25.1802997589
DUS,IBZ,Duesseldorf,Germany,Ibiza,Spain,51.289501,6.766780000000001,38.8728981018,1.3731199502899998
DUS,KTW,Duesseldorf,Germany,Katowice,Poland,51.289501,6.766780000000001,50.4743,19.08
DUS,LEJ,Duesseldorf,Germany,Leipzig,Germany,51.289501,6.766780000000001,51.423889,12.236389
DUS,LYS,Duesseldorf,Germany,Lyon,France,51.289501,6.766780000000001,45.725556,5.081111
DUS,MAD,Duesseldorf,Germany,Madrid,Spain,51.289501,6.766780000000001,40.471926,-3.56264
DUS,MPL,Duesseldorf,Germany,Montpellier,France,51.289501,6.766780000000001,43.57619857788086,3.96301007270813
DUS,MXP,Duesseldorf,Germany,Milano,Italy,51.289501,6.766780000000001,45.6306,8.728110000000001
DUS,NQY,Duesseldorf,Germany,Newquai,United Kingdom,51.289501,6.766780000000001,50.44060134887695,-4.995409965515137
DUS,NUE,Duesseldorf,Germany,Nuernberg,Germany,51.289501,6.766780000000001,49.498699,11.078056
DUS,OLB,Duesseldorf,Germany,Olbia,Italy,51.289501,6.766780000000001,40.898701,9.51763
DUS,PMI,Duesseldorf,Germany,Palma de Mallorca,Spain,51.289501,6.766780000000001,39.551700592,2.73881006241
DUS,POZ,Duesseldorf,Germany,Poznan,Poland,51.289501,6.766780000000001,52.4210014343,16.8262996674
DUS,PRG,Duesseldorf,Germany,Prague,Czech Republic,51.289501,6.766780000000001,50.1008,14.26
DUS,PRN,Duesseldorf,Germany,Pristina,Serbia,51.289501,6.766780000000001,42.5728,21.035801
DUS,SKG,Duesseldorf,Germany,Thessaloniki,Greece,51.289501,6.766780000000001,40.51969909667969,22.97089958190918
DUS,SPU,Duesseldorf,Germany,Split,Croatia,51.289501,6.766780000000001,43.53889846801758,16.29800033569336
DUS,SUF,Duesseldorf,Germany,Lamezia,Italy,51.289501,6.766780000000001,38.905399,16.2423
DUS,TRN,Duesseldorf,Germany,Torino,Italy,51.289501,6.766780000000001,45.200802,7.64963
DUS,VCE,Duesseldorf,Germany,Venice,Italy,51.289501,6.766780000000001,45.505299,12.3519
DUS,WAW,Duesseldorf,Germany,Warsaw,Poland,51.289501,6.766780000000001,52.1656990051,20.9671001434
DUS,WRO,Duesseldorf,Germany,Wroclaw,Poland,51.289501,6.766780000000001,51.10269927979999,16.885799408
DUS,ZAD,Duesseldorf,Germany,Zadar,Croatia,51.289501,6.766780000000001,44.108299,15.3467
